"","title","release_date"
"1","Toy Story","1995-10-30"
"2","Jumanji","1995-12-15"
"3","Grumpier Old Men","1995-12-22"
"4","Waiting to Exhale","1995-12-22"
"5","Father of the Bride Part II","1995-02-10"
"6","Heat","1995-12-15"
"7","Sabrina","1995-12-15"
"8","Tom and Huck","1995-12-22"
"9","Sudden Death","1995-12-22"
"10","GoldenEye","1995-11-16"
"11","The American President","1995-11-17"
"12","Dracula: Dead and Loving It","1995-12-22"
"13","Balto","1995-12-22"
"14","Nixon","1995-12-22"
"15","Cutthroat Island","1995-12-22"
"16","Casino","1995-11-22"
"17","Sense and Sensibility","1995-12-13"
"18","Four Rooms","1995-12-09"
"19","Ace Ventura: When Nature Calls","1995-11-10"
"20","Money Train","1995-11-21"
"21","Get Shorty","1995-10-20"
"22","Copycat","1995-10-27"
"23","Assassins","1995-10-06"
"24","Powder","1995-10-27"
"25","Leaving Las Vegas","1995-10-27"
"26","Othello","1995-12-15"
"27","Now and Then","1995-10-20"
"28","Persuasion","1995-09-27"
"29","The City of Lost Children","1995-05-16"
"30","Shanghai Triad","1995-04-30"
"31","Dangerous Minds","1995-08-11"
"32","Twelve Monkeys","1995-12-29"
"33","Wings of Courage","1996-09-18"
"34","Babe","1995-07-18"
"35","Carrington","1995-11-08"
"36","Dead Man Walking","1995-12-29"
"37","Across the Sea of Time","1995-10-20"
"38","It Takes Two","1995-11-17"
"39","Clueless","1995-07-19"
"40","Cry, the Beloved Country","1995-12-15"
"41","Richard III","1995-12-29"
"42","Dead Presidents","1995-10-06"
"43","Restoration","1995-12-29"
"44","Mortal Kombat","1995-08-18"
"45","To Die For","1995-05-20"
"46","How To Make An American Quilt","1995-10-06"
"47","Se7en","1995-09-22"
"48","Pocahontas","1995-06-14"
"49","When Night Is Falling","1995-05-05"
"50","The Usual Suspects","1995-07-19"
"51","Guardian Angel","1994-11-22"
"52","Mighty Aphrodite","1995-09-13"
"53","Lamerica","1994-01-01"
"54","The Big Green","1995-09-29"
"55","Georgia","1995-05-19"
"56","Kids of the Round Table","1997-07-08"
"57","Home for the Holidays","1995-11-02"
"58","The Postman","1994-09-22"
"59","The Confessional","1995-09-29"
"60","The Indian in the Cupboard","1995-07-14"
"61","Eye for an Eye","1996-01-12"
"62","Mr. Holland's Opus","1995-12-29"
"63","Don't Be a Menace to South Central While Drinking Your Juice in the Hood","1996-01-12"
"64","Two If by Sea","1996-01-12"
"65","Bio-Dome","1996-01-12"
"66","Lawnmower Man 2: Beyond Cyberspace","1996-01-12"
"67","Two Bits","1995-10-22"
"68","French Twist","1995-02-08"
"69","Friday","1995-04-26"
"70","From Dusk Till Dawn","1996-01-19"
"71","Fair Game","1995-11-03"
"72","Kicking and Screaming","1995-10-06"
"73","Les Miserables","1995-03-22"
"74","Bed of Roses","1996-01-26"
"75","Big Bully","1996-01-26"
"76","Screamers","1995-09-08"
"77","Nico Icon","1995-02-18"
"78","The Crossing Guard","1995-11-15"
"79","The Juror","1996-02-02"
"80","The White Balloon","1995-01-01"
"81","Things to Do in Denver When You're Dead","1995-12-01"
"82","Antonia's Line","1995-09-12"
"83","Once Upon a Time... When We Were Colored","1996-01-26"
"84","Last Summer in the Hamptons","1995-11-22"
"85","Angels and Insects","1995-09-10"
"86","White Squall","1996-02-02"
"87","Dunston Checks In","1996-01-12"
"88","Black Sheep","1996-02-01"
"89","Nick of Time","1995-11-22"
"90","The Journey of August King","1995-09-14"
"91","Mary Reilly","1996-02-23"
"92","Vampire in Brooklyn","1995-10-26"
"93","Beautiful Girls","1996-02-09"
"94","Broken Arrow","1996-02-09"
